title,area,rating,n_reviews,reference
Сакрополь,"Россия, Крым, Саки",4.08,59,https://tophotels.ru/hotel/al144328/reviews
Пальмира Палас Ялта 4*,"Россия, Крым, Ялта",4.65,71,https://tophotels.ru/hotel/al19828/reviews
СПА-отель Ливадийский,"Россия, Крым, Ялта, Ливадия",4.08,77,https://tophotels.ru/hotel/al84868/reviews
More Spa & Resort 4*,"Россия, Крым, Алушта",4.52,76,https://tophotels.ru/hotel/al19748/reviews
ТОК Судак,"Россия, Крым, Судак",3.7,74,https://tophotels.ru/hotel/al154325/reviews
Савита 3*,"Россия, Крым, Симферополь, Николаевка",3.83,53,https://tophotels.ru/hotel/al307383/reviews
Бельбек 3*,"Россия, Крым, Севастополь, Любимовка поселок",4.71,52,https://tophotels.ru/hotel/al38153/reviews
Парк-отель и пансионат Песочная Бухта 4*,"Россия, Крым, Севастополь",4.48,51,https://tophotels.ru/hotel/al150882/reviews
Кристал (Cristal),"Россия, Крым, Коктебель",3.8,55,https://tophotels.ru/hotel/al311613/reviews
Поморье,"Россия, Крым, Штормовое",3.51,58,https://tophotels.ru/hotel/al63736/reviews
Лиго Морская,"Россия, Крым, Симеиз",3.48,68,https://tophotels.ru/hotel/al35551/reviews
Ripario Hotel Group,"Россия, Крым, Ялта, Отрадное",3.83,81,https://tophotels.ru/hotel/al19739/reviews
Таврида Мыс Лукулл,"Россия, Крым, Севастополь",4.52,48,https://tophotels.ru/hotel/al50189/reviews
Ribera Resort & SPA 4*,"Россия, Крым, Евпатория",4.48,58,https://tophotels.ru/hotel/al307847/reviews
ДельМар (DelMar),"Россия, Крым, Евпатория, Заозерное",4.42,40,https://tophotels.ru/hotel/al265560/reviews
Бригантина 3*,"Россия, Крым, Феодосия, Береговое",4.26,61,https://tophotels.ru/hotel/al35620/reviews
ДЮЛЬБЕР Санаторный комплекс 2*,"Россия, Крым, Ялта",4.12,35,https://tophotels.ru/hotel/al57034/reviews
Новый Свет,"Россия, Крым, Новый Свет",4.04,49,https://tophotels.ru/hotel/al19725/reviews
Поляна сказок,"Россия, Крым, Ялта",4.13,45,https://tophotels.ru/hotel/al19755/reviews
Лазурная Мелодия,"Россия, Крым, Алушта",4.74,39,https://tophotels.ru/hotel/al103408/reviews
Туристско-оздоровительный спортивный комплекс Приморье,"Россия, Крым, Коктебель",3.68,67,https://tophotels.ru/hotel/al19728/reviews
Riviera Sunrise Resort & SPA ALUSHTA 4*,"Россия, Крым, Алушта, Алушта-центр",4.59,41,https://tophotels.ru/hotel/al35494/reviews
Эко-отель Левант 3*,"Россия, Крым, Ялта",4.49,43,https://tophotels.ru/hotel/al19752/reviews
Ас-Эль 3*,"Россия, Крым, Коктебель",3.81,55,https://tophotels.ru/hotel/al19787/reviews
Ламбат,"Россия, Крым, Алушта, Утес",4.76,38,https://tophotels.ru/hotel/al118900/reviews
Маджестик,"Россия, Крым, Алушта",3.93,59,https://tophotels.ru/hotel/al62579/reviews
ТОК Евпатория,"Россия, Крым, Евпатория, Евпатория-центр",4.01,47,https://tophotels.ru/hotel/al19722/reviews
Резиденция Крымский Бриз 5*,"Россия, Крым, Ялта, Парковое",4.73,33,https://tophotels.ru/hotel/al87468/reviews
Курортный отель 1001 ночь 3*,"Россия, Крым, Мисхор",4.17,47,https://tophotels.ru/hotel/al45013/reviews
Вилла Арго 3*,"Россия, Крым, Алушта, Малореченское",4.65,40,https://tophotels.ru/hotel/al40724/reviews
Donna Rosa (Донна Роза) 3*,"Россия, Крым, Евпатория",4.4,38,https://tophotels.ru/hotel/al307362/reviews
Черноморец,"Россия, Крым, Бахчисарай, Песчаное",4.12,50,https://tophotels.ru/hotel/al19800/reviews
Цитрус,"Россия, Крым, Алушта",3.96,37,https://tophotels.ru/hotel/al311063/reviews
Нарлен 3*,"Россия, Крым, Коктебель",3.94,37,https://tophotels.ru/hotel/al87507/reviews
Александрия 4*,"Россия, Крым, Кацивели",4.73,33,https://tophotels.ru/hotel/al103355/reviews
Альпийская долина 3*,"Россия, Крым, Алушта, Малореченское",4.68,34,https://tophotels.ru/hotel/al133703/reviews
CLUB-отель LEXX (ЛЕКС),"Россия, Крым, Коктебель",4.48,40,https://tophotels.ru/hotel/al231614/reviews
Ай-Даниль,"Россия, Крым, Ялта, Даниловка поселок",4.0,45,https://tophotels.ru/hotel/al46055/reviews
Hostel Academia,"Россия, Крым, Симферополь, Симферополь-центр",5.0,10,https://tophotels.ru/hotel/al319106/reviews
Отель Феодосия  3*,"Россия, Крым, Феодосия",4.34,39,https://tophotels.ru/hotel/al62765/reviews
Christie 4*,"Россия, Крым, Евпатория, Мирный",4.32,43,https://tophotels.ru/hotel/al160709/reviews
Полтава-Крым 3*,"Россия, Крым, Саки",4.06,43,https://tophotels.ru/hotel/al19794/reviews
Эко-Village,"Россия, Крым, Алушта",3.73,41,https://tophotels.ru/hotel/al212048/reviews
Морской,"Россия, Крым, Алушта, Семидворье",4.54,45,https://tophotels.ru/hotel/al34207/reviews
Корона 3*,"Россия, Крым, Евпатория, Евпатория-центр",4.5,33,https://tophotels.ru/hotel/al35462/reviews
Дюльбер,"Россия, Крым, Кореиз",3.67,20,https://tophotels.ru/hotel/al317191/reviews
Санта Барбара (Santa Barbara) 3*,"Россия, Крым, Алушта",4.62,25,https://tophotels.ru/hotel/al61233/reviews
"Гостевой дом Малиновая, 10","Россия, Крым, Севастополь, Учкуевка",4.62,34,https://tophotels.ru/hotel/al41623/reviews
Villa Goluboy Zaliv (Вилла Голубой Залив),"Россия, Крым, Симеиз",4.58,30,https://tophotels.ru/hotel/al108087/reviews
Камелот 3*,"Россия, Крым, Алушта, Малореченское",4.5,31,https://tophotels.ru/hotel/al84057/reviews
Веселый Хотэй,"Россия, Крым, Гурзуф",4.35,28,https://tophotels.ru/hotel/al93328/reviews
Парк-отель РИО,"Россия, Крым, Щелкино, Мысовое",3.98,33,https://tophotels.ru/hotel/al271315/reviews
Пансионат Звездный,"Россия, Крым, Судак, Судак-центр",3.88,50,https://tophotels.ru/hotel/al19727/reviews
Марикон 3*,"Россия, Крым, Саки, Новофёдоровка поселок",4.39,30,https://tophotels.ru/hotel/al83717/reviews
Florentina,"Россия, Крым, Ялта, Ялта-центр",4.25,24,https://tophotels.ru/hotel/al308142/reviews
Эллада 3*,"Россия, Крым, Алушта, Семидворье",3.99,47,https://tophotels.ru/hotel/al38085/reviews
Владимирский причал,"Россия, Крым, Севастополь, Радиогорка",5.0,19,https://tophotels.ru/hotel/al314242/reviews
Сказка,"Россия, Крым, Алушта, Профессорский Рабочий уголок",4.31,34,https://tophotels.ru/hotel/al35500/reviews
Вилла Магия,"Россия, Крым, Саки, Новофёдоровка поселок",4.2,27,https://tophotels.ru/hotel/al247140/reviews
Апартаменты Херсонес APT,"Россия, Крым, Севастополь, Херсонес-Таврический",4.98,21,https://tophotels.ru/hotel/al38091/reviews
Чаривна Каламита,"Россия, Крым, Саки",4.87,21,https://tophotels.ru/hotel/al141000/reviews
Mar Le Mar Club 4*,"Россия, Крым, Бахчисарай, Песчаное",4.74,24,https://tophotels.ru/hotel/al131143/reviews
Норд 3*,"Россия, Крым, Партенит",4.61,32,https://tophotels.ru/hotel/al47286/reviews
Летучая Мышь 3*,"Россия, Крым, Алушта, Алушта-центр",4.36,26,https://tophotels.ru/hotel/al226925/reviews
Дюльбер,"Россия, Крым, Саки, Прибрежное",4.28,26,https://tophotels.ru/hotel/al246528/reviews
Голубая волна,"Россия, Крым, Алушта",4.24,26,https://tophotels.ru/hotel/al19776/reviews
Горный,"Россия, Крым, Ялта, Ливадия",3.9,27,https://tophotels.ru/hotel/al49697/reviews
Вилла Валентина,"Россия, Крым, Алушта",4.75,23,https://tophotels.ru/hotel/al212849/reviews
Натали,"Россия, Крым, Черноморское",4.26,23,https://tophotels.ru/hotel/al156390/reviews
Курортный отель Сосновая Роща,"Россия, Крым, Гаспра",4.22,31,https://tophotels.ru/hotel/al37732/reviews
Алые Паруса,"Россия, Крым, Алушта",4.18,28,https://tophotels.ru/hotel/al68444/reviews
Парус,"Россия, Крым, Гаспра",3.99,29,https://tophotels.ru/hotel/al34205/reviews
Солнечный бриз,"Россия, Крым, Алушта, Солнечногорское",3.88,23,https://tophotels.ru/hotel/al307387/reviews
Villa Fellini 3*,"Россия, Крым, Судак, Судак-центр",4.48,38,https://tophotels.ru/hotel/al41625/reviews
Курортный отель Империал 2011 (Imperial 2011),"Россия, Крым, Ялта, Ялта-центр",4.38,23,https://tophotels.ru/hotel/al90056/reviews
Leo Palace Hotel 4*,"Россия, Крым, Черноморское",4.33,26,https://tophotels.ru/hotel/al161477/reviews
Gala Paradise,"Россия, Крым, Саки, Новофёдоровка поселок",4.26,27,https://tophotels.ru/hotel/al306973/reviews
Вилла Аква Вита,"Россия, Крым, Алупка",3.33,17,https://tophotels.ru/hotel/al303781/reviews
Алые Паруса 4*,"Россия, Крым, Феодосия, Феодосия-центр",4.46,27,https://tophotels.ru/hotel/al36378/reviews
Melrose,"Россия, Крым, Евпатория, Заозерное",4.44,27,https://tophotels.ru/hotel/al307623/reviews
Миланка,"Россия, Крым, Судак, Судак-центр",4.32,22,https://tophotels.ru/hotel/al118569/reviews
Марлин,"Россия, Крым, Черноморское, Оленевка",4.18,19,https://tophotels.ru/hotel/al312042/reviews
Золотой берег,"Россия, Крым, Евпатория, Евпатория-центр",4.1,26,https://tophotels.ru/hotel/al49953/reviews
Санаторий Утес,"Россия, Крым, Алушта, Утес",3.96,31,https://tophotels.ru/hotel/al19742/reviews
Бастион,"Россия, Крым, Судак, Судак-центр",3.89,34,https://tophotels.ru/hotel/al19785/reviews
Риека,"Россия, Крым, Феодосия, Орджоникидзе",3.85,23,https://tophotels.ru/hotel/al37899/reviews
Пансионат Царь Евпатор,"Россия, Крым, Евпатория",4.59,21,https://tophotels.ru/hotel/al152760/reviews
Парк-отель Глория 3*,"Россия, Крым, Кореиз",4.3,26,https://tophotels.ru/hotel/al198556/reviews
Капля Моря,"Россия, Крым, Бахчисарай, Песчаное",4.2,28,https://tophotels.ru/hotel/al41035/reviews
Лучезарный,"Россия, Крым, Симферополь, Николаевка",3.99,22,https://tophotels.ru/hotel/al41029/reviews
БлагоЛюбоМорье,"Россия, Крым, Севастополь, Любимовка поселок",3.93,46,https://tophotels.ru/hotel/al38149/reviews
Капсульный хостел Лайм,"Россия, Крым, Ялта, Ялта-центр",5.0,15,https://tophotels.ru/hotel/al313649/reviews
Береговой,"Россия, Крым, Малый Маяк поселок",4.56,21,https://tophotels.ru/hotel/al35453/reviews
Форум,"Россия, Крым, Судак, Судак-центр",4.22,24,https://tophotels.ru/hotel/al46986/reviews
Аравана,"Россия, Крым, Курортное",3.97,18,https://tophotels.ru/hotel/al157729/reviews
Заря,"Россия, Крым, Керчь, Нижнее Заморское",3.24,21,https://tophotels.ru/hotel/al19804/reviews
Ле-Ди,"Россия, Крым, Саки, Прибрежное",2.93,34,https://tophotels.ru/hotel/al226471/reviews
Вилла Отрадное,"Россия, Крым, Ялта, Отрадное",4.92,14,https://tophotels.ru/hotel/al311295/reviews
Коралл,"Россия, Крым, Ялта, Ялта-центр",4.76,20,https://tophotels.ru/hotel/al45955/reviews
На Черноморской,"Россия, Крым, Феодосия",4.51,19,https://tophotels.ru/hotel/al286519/reviews
Вояж Гостиный Двор,"Россия, Крым, Евпатория, Заозерное",4.47,14,https://tophotels.ru/hotel/al265564/reviews
Гурзуфские Зори,"Россия, Крым, Гурзуф",4.4,23,https://tophotels.ru/hotel/al65133/reviews
Пансионат Творческая Волна,"Россия, Крым, Коктебель",4.38,16,https://tophotels.ru/hotel/al128454/reviews
Муссон,"Россия, Крым, Ялта",4.26,22,https://tophotels.ru/hotel/al52779/reviews
Гринцовский Пансионат,"Россия, Крым, Ялта, Ливадия",4.25,23,https://tophotels.ru/hotel/al158592/reviews
Grand Astoria (Гранд Астория) 3*,"Россия, Крым, Феодосия, Феодосия-центр",4.2,23,https://tophotels.ru/hotel/al37902/reviews
Велес,"Россия, Крым, Евпатория, Евпатория-центр",4.15,26,https://tophotels.ru/hotel/al44652/reviews
Голубой залив,"Россия, Крым, Коктебель",2.81,56,https://tophotels.ru/hotel/al19729/reviews
Россия,"Россия, Крым, Евпатория, Евпатория-центр",1.67,13,https://tophotels.ru/hotel/al19790/reviews
Усадьба Приморский Парк,"Россия, Крым, Алушта",4.75,14,https://tophotels.ru/hotel/al310540/reviews
Русское море,"Россия, Крым, Евпатория",4.74,14,https://tophotels.ru/hotel/al156780/reviews
Grand Hotel,"Россия, Крым, Судак",4.59,16,https://tophotels.ru/hotel/al87426/reviews
Чайная горка,"Россия, Крым, Ялта, Ялта-центр",4.08,19,https://tophotels.ru/hotel/al45460/reviews
Villa Capri (Вилла Капри),"Россия, Крым, Щелкино",3.99,19,https://tophotels.ru/hotel/al310582/reviews
Сантурина,"Россия, Крым, Штормовое, Поповка",3.17,16,https://tophotels.ru/hotel/al37922/reviews
Barton Park Hotel,"Россия, Крым, Алушта",4.69,17,https://tophotels.ru/hotel/al103642/reviews
Лиана 3*,"Россия, Крым, Евпатория, Евпатория-центр",4.46,19,https://tophotels.ru/hotel/al37935/reviews
Сакский военный клинический санаторий им.Н.И.Пирогова,"Россия, Крым, Саки",4.35,17,https://tophotels.ru/hotel/al66864/reviews
Ай-Петри,"Россия, Крым, Феодосия, Береговое",4.33,29,https://tophotels.ru/hotel/al19730/reviews
Парк Отель Актер 2*,"Россия, Крым, Ялта",4.32,22,https://tophotels.ru/hotel/al52801/reviews
Respect Hall Resort & SPA 3*,"Россия, Крым, Ялта",4.18,24,https://tophotels.ru/hotel/al41417/reviews
Украина Палас 4*,"Россия, Крым, Евпатория, Евпатория-центр",3.94,21,https://tophotels.ru/hotel/al44514/reviews
Фламинго,"Россия, Крым, Партенит",3.81,17,https://tophotels.ru/hotel/al251984/reviews
Таврида,"Россия, Крым, Алушта",3.4,26,https://tophotels.ru/hotel/al19747/reviews
Крымское Приазовье,"Россия, Крым, Щелкино",3.38,26,https://tophotels.ru/hotel/al19801/reviews
Юлиана 3*,"Россия, Крым, Евпатория, Евпатория-центр",3.11,22,https://tophotels.ru/hotel/al37925/reviews
Гурзуфский,"Россия, Крым, Гурзуф",3.1,19,https://tophotels.ru/hotel/al19783/reviews
Золотой берег,"Россия, Крым, Феодосия, Береговое",2.49,45,https://tophotels.ru/hotel/al19731/reviews
Четыре Сезона,"Россия, Крым, Алупка",4.89,14,https://tophotels.ru/hotel/al203290/reviews
Sevastopol Hotel & Spa 3*,"Россия, Крым, Севастополь, Севастополь-центр",4.61,17,https://tophotels.ru/hotel/al31634/reviews
Ай-Лия,"Россия, Крым, Малый Маяк поселок",4.33,14,https://tophotels.ru/hotel/al35507/reviews
Natalia 3*,"Россия, Крым, Евпатория, Мирный",4.31,16,https://tophotels.ru/hotel/al160710/reviews
Миндальная роща,"Россия, Крым, Алушта, Профессорский Рабочий уголок",4.24,19,https://tophotels.ru/hotel/al56492/reviews
Акватория,"Россия, Крым, Евпатория, Евпатория-центр",4.2,16,https://tophotels.ru/hotel/al41100/reviews
Туристско-оздоровительный комплекс Горизонт,"Россия, Крым, Судак, Судак-центр",3.75,28,https://tophotels.ru/hotel/al10523/reviews
Лагуна,"Россия, Крым, Бахчисарай, Песчаное",3.51,20,https://tophotels.ru/hotel/al35556/reviews
Алушта санаторий,"Россия, Крым, Алушта, Профессорский Рабочий уголок",3.42,31,https://tophotels.ru/hotel/al19778/reviews
Villa Campari,"Россия, Крым, Щелкино",3.19,22,https://tophotels.ru/hotel/al318530/reviews
Агора 4*,"Россия, Крым, Алушта, Алушта-центр",5.0,13,https://tophotels.ru/hotel/al90735/reviews
Апартаменты у Приморского Парка,"Россия, Крым, Ялта, Ялта-центр",4.92,7,https://tophotels.ru/hotel/al318553/reviews
Mare-Nero 3*,"Россия, Крым, Алупка",4.86,14,https://tophotels.ru/hotel/al287807/reviews
Релакс Центр ИРЕЙ,"Россия, Крым, Алушта, Семидворье",4.53,17,https://tophotels.ru/hotel/al85777/reviews
Вилла Елена 3*,"Россия, Крым, Саки, Новофёдоровка поселок",4.52,16,https://tophotels.ru/hotel/al205818/reviews
Славия,"Россия, Крым, Коктебель",4.5,9,https://tophotels.ru/hotel/al303019/reviews
Кичкинэ 2*,"Россия, Крым, Ялта, Ливадия",4.45,21,https://tophotels.ru/hotel/al19845/reviews
Динамикс,"Россия, Крым, Черноморское",4.33,17,https://tophotels.ru/hotel/al37934/reviews
Камелия-Кафа,"Россия, Крым, Коктебель",4.32,13,https://tophotels.ru/hotel/al54749/reviews
СОК На Эскадронной,"Россия, Крым, Евпатория",4.32,15,https://tophotels.ru/hotel/al154934/reviews
Рассвет,"Россия, Крым, Симферополь, Николаевка",4.21,17,https://tophotels.ru/hotel/al41517/reviews
Морской бриз 3*,"Россия, Крым, Гурзуф",4.21,13,https://tophotels.ru/hotel/al69570/reviews
Нижняя Ореанда,"Россия, Крым, Ялта, Ореанда",4.21,18,https://tophotels.ru/hotel/al49551/reviews
Younge Art Camp (Юнге Арт Кэмп),"Россия, Крым, Коктебель",4.19,15,https://tophotels.ru/hotel/al147574/reviews
База отдыха Коронелли,"Россия, Крым, Феодосия, Береговое",3.54,19,https://tophotels.ru/hotel/al41926/reviews
Аквапарк 3*,"Россия, Крым, Алушта",4.82,17,https://tophotels.ru/hotel/al19780/reviews
Озеро сновидений,"Россия, Крым, Евпатория",4.81,11,https://tophotels.ru/hotel/al153252/reviews
Атлантида,"Россия, Крым, Ялта",4.7,15,https://tophotels.ru/hotel/al268465/reviews
Туристско-оздоровительный комплекс Золотой пляж,"Россия, Крым, Феодосия, Береговое",4.38,11,https://tophotels.ru/hotel/al263678/reviews
Солнечный,"Россия, Крым, Симферополь, Николаевка",4.26,12,https://tophotels.ru/hotel/al311376/reviews
Танжер,"Россия, Крым, Саки",4.04,16,https://tophotels.ru/hotel/al19812/reviews
Happy Hotel,"Россия, Крым, Ялта",3.78,22,https://tophotels.ru/hotel/al76393/reviews
Villa Sany,"Россия, Крым, Симферополь, Николаевка",5.0,11,https://tophotels.ru/hotel/al235464/reviews
Атлантика (Atlantika),"Россия, Крым, Евпатория, Заозерное",4.82,16,https://tophotels.ru/hotel/al40237/reviews
Valentina (Валентина),"Россия, Крым, Феодосия",4.79,11,https://tophotels.ru/hotel/al37903/reviews
Оазис 3*,"Россия, Крым, Евпатория, Евпатория-центр",4.75,10,https://tophotels.ru/hotel/al37921/reviews
Отель Вилла Олива-Арт 3*,"Россия, Крым, Алушта, Утес",4.73,8,https://tophotels.ru/hotel/al313805/reviews
Серебряный бриз,"Россия, Крым, Евпатория",4.7,12,https://tophotels.ru/hotel/al265317/reviews
Крымская Ницца 2*,"Россия, Крым, Ялта, Ялта-центр",4.59,12,https://tophotels.ru/hotel/al137322/reviews
Soldaya Grand Hotel & Resort 4*,"Россия, Крым, Судак",4.58,11,https://tophotels.ru/hotel/al107770/reviews
Якорь,"Россия, Крым, Коктебель",4.43,11,https://tophotels.ru/hotel/al34204/reviews
Ореанда 5*,"Россия, Крым, Ялта",4.37,20,https://tophotels.ru/hotel/al19734/reviews
Вилла Камилла,"Россия, Крым, Алушта",4.33,10,https://tophotels.ru/hotel/al261028/reviews
Магия,"Россия, Крым, Саки, Новофёдоровка поселок",4.33,13,https://tophotels.ru/hotel/al149350/reviews
Вилла у моря,"Россия, Крым, Евпатория, Евпатория-центр",4.32,14,https://tophotels.ru/hotel/al37962/reviews
Санаторий Россия,"Россия, Крым, Ялта, Ялта-центр",4.06,18,https://tophotels.ru/hotel/al41022/reviews
Арт-отель Азор,"Россия, Крым, Ялта, Ливадия",3.98,14,https://tophotels.ru/hotel/al305454/reviews
Северное Сияние,"Россия, Крым, Саки",3.78,15,https://tophotels.ru/hotel/al41062/reviews
Прибой,"Россия, Крым, Саки",3.78,16,https://tophotels.ru/hotel/al35456/reviews
Москва-Крым,"Россия, Крым, Керчь",3.58,19,https://tophotels.ru/hotel/al265370/reviews
Крымские зори,"Россия, Крым, Алушта",3.57,25,https://tophotels.ru/hotel/al19746/reviews
Crimean Prymorie,"Россия, Крым, Курортное",3.55,24,https://tophotels.ru/hotel/al37908/reviews
Дельфин,"Россия, Крым, Евпатория, Заозерное",3.52,17,https://tophotels.ru/hotel/al37964/reviews
Итальянский дворик,"Россия, Крым, Саки",3.5,16,https://tophotels.ru/hotel/al253097/reviews
Вилла Пальма,"Россия, Крым, Морское",3.3,19,https://tophotels.ru/hotel/al307658/reviews
Курпаты,"Россия, Крым, Ялта, Курпаты",2.85,21,https://tophotels.ru/hotel/al35454/reviews
Villa Elena Hotel & Residences 5*,"Россия, Крым, Ялта, Ялта-центр",5.0,9,https://tophotels.ru/hotel/al41620/reviews
Петр Отель,"Россия, Крым, Евпатория",4.97,7,https://tophotels.ru/hotel/al311799/reviews
Москва,"Россия, Крым, Алушта",4.48,8,https://tophotels.ru/hotel/al35504/reviews
Чайка 2*,"Россия, Крым, Гурзуф",4.4,9,https://tophotels.ru/hotel/al52167/reviews
Salvador Hotel Club,"Россия, Крым, Партенит",4.2,12,https://tophotels.ru/hotel/al277284/reviews
Ассоль-Море 2*,"Россия, Крым, Симеиз",4.11,11,https://tophotels.ru/hotel/al71799/reviews
Эклипс 3*,"Россия, Крым, Симферополь, Николаевка",4.0,9,https://tophotels.ru/hotel/al241913/reviews
Чайка,"Россия, Крым, Симферополь, Николаевка",3.85,11,https://tophotels.ru/hotel/al305349/reviews
Дива,"Россия, Крым, Судак",3.81,15,https://tophotels.ru/hotel/al205059/reviews
Канака,"Россия, Крым, Канакская Балка",3.75,13,https://tophotels.ru/hotel/al49298/reviews
Седьмое небо,"Россия, Крым, Алушта, Утес",3.71,11,https://tophotels.ru/hotel/al151403/reviews
Крымская весна,"Россия, Крым, Судак",3.59,23,https://tophotels.ru/hotel/al224762/reviews
Запорожье,"Россия, Крым, Ялта, Ялта-центр",3.56,19,https://tophotels.ru/hotel/al40907/reviews
Юпитер,"Россия, Крым, Евпатория, Евпатория-центр",3.41,20,https://tophotels.ru/hotel/al37949/reviews
Алексия 2*,"Россия, Крым, Бахчисарай, Песчаное",3.21,14,https://tophotels.ru/hotel/al262576/reviews
Измир,"Россия, Крым, Судак, Судак-центр",3.03,16,https://tophotels.ru/hotel/al250633/reviews
Вилла Рай,"Россия, Крым, Рыбачье",2.58,17,https://tophotels.ru/hotel/al300172/reviews
ДельфиниЯ  1*,"Россия, Крым, Симферополь, Николаевка",5.0,6,https://tophotels.ru/hotel/al320047/reviews
SPA-отель Приморский Парк 4*,"Россия, Крым, Ялта",4.95,9,https://tophotels.ru/hotel/al62837/reviews
Рубикон,"Россия, Крым, Гаспра",4.83,8,https://tophotels.ru/hotel/al103340/reviews
Лимановка,"Россия, Крым, Евпатория, Заозерное",4.63,10,https://tophotels.ru/hotel/al114367/reviews
Каламит,"Россия, Крым, Евпатория, Евпатория-центр",4.61,14,https://tophotels.ru/hotel/al37966/reviews
Улыбка 3*,"Россия, Крым, Евпатория, Евпатория-центр",4.58,10,https://tophotels.ru/hotel/al78498/reviews
Бон Мезон,"Россия, Крым, Алушта",4.48,17,https://tophotels.ru/hotel/al35501/reviews
Айвазовское,"Россия, Крым, Партенит",4.38,12,https://tophotels.ru/hotel/al69562/reviews
Скиф Дельфиния,"Россия, Крым, Симферополь, Николаевка",4.38,9,https://tophotels.ru/hotel/al306347/reviews
Орхидея,"Россия, Крым, Симферополь, Николаевка",4.21,9,https://tophotels.ru/hotel/al310465/reviews
У верблюжьих холмов 3*,"Россия, Крым, Коктебель",4.2,8,https://tophotels.ru/hotel/al63416/reviews
Спарта,"Россия, Крым, Ялта",4.08,9,https://tophotels.ru/hotel/al65335/reviews
